index,nome,idade,cargo,senioridade
1,marcos,27,analista,junior
2,joão,29,analista,pleno
3,marcelo,36,consultor,pleno
4,michael,32,assessor,junior
5,eduardo,25,analista,junior
6,ana,22,assistente,junior
7,maria,41,especialista,senior
8,jéssica,36,analista,pleno
9,guilherme,37,analista,senior
10,roberta,21,assistente,junior
11,clara,24,analista,junior
12,marcos,27,analista,junior
13,joão,29,analista,pleno
14,marcelo,36,consultor,pleno
15,michael,32,assessor,junior
16,eduardo,25,analista,junior
17,ana,22,assistente,junior
18,maria,41,especialista,senior
19,jéssica,36,analista,pleno
20,guilherme,37,analista,senior
21,roberta,21,assistente,junior
22,clara,24,analista,junior
23,marcos,27,analista,junior
24,joão,29,analista,pleno
25,marcelo,36,consultor,pleno
26,michael,32,assessor,junior
27,eduardo,25,analista,junior
28,ana,22,assistente,junior
29,maria,41,especialista,senior
30,jéssica,36,analista,pleno
31,guilherme,37,analista,senior
32,roberta,21,assistente,junior
33,clara,24,analista,junior
34,marcos,27,analista,junior
35,joão,29,analista,pleno
36,marcelo,36,consultor,pleno
37,michael,32,assessor,junior
38,eduardo,25,analista,junior
39,ana,22,assistente,junior
40,maria,41,especialista,senior
41,jéssica,36,analista,pleno
42,guilherme,37,analista,senior
43,roberta,21,assistente,junior
44,clara,24,analista,junior
45,marcos,27,analista,junior
46,joão,29,analista,pleno
47,marcelo,36,consultor,pleno
48,michael,32,assessor,junior
49,eduardo,25,analista,junior
50,ana,22,assistente,junior
51,maria,41,especialista,senior
52,jéssica,36,analista,pleno
53,guilherme,37,analista,senior
54,roberta,21,assistente,junior
55,clara,24,analista,junior
56,marcos,27,analista,junior
57,joão,29,analista,pleno
58,marcelo,36,consultor,pleno
59,michael,32,assessor,junior
60,eduardo,25,analista,junior
61,ana,22,assistente,junior
62,maria,41,especialista,senior
63,jéssica,36,analista,pleno
64,guilherme,37,analista,senior
65,roberta,21,assistente,junior
66,clara,24,analista,junior
67,marcos,27,analista,junior
68,joão,29,analista,pleno
69,marcelo,36,consultor,pleno
70,michael,32,assessor,junior
71,eduardo,25,analista,junior
72,ana,22,assistente,junior
73,maria,41,especialista,senior
74,jéssica,36,analista,pleno
75,guilherme,37,analista,senior
76,roberta,21,assistente,junior
77,clara,24,analista,junior
78,marcos,27,analista,junior
79,joão,29,analista,pleno
80,marcelo,36,consultor,pleno
81,michael,32,assessor,junior
82,eduardo,25,analista,junior
83,ana,22,assistente,junior
84,maria,41,especialista,senior
85,jéssica,36,analista,pleno
86,guilherme,37,analista,senior
87,roberta,21,assistente,junior
88,clara,24,analista,junior
89,marcos,27,analista,junior
90,joão,29,analista,pleno
91,marcelo,36,consultor,pleno
92,michael,32,assessor,junior
93,eduardo,25,analista,junior
94,ana,22,assistente,junior
95,maria,41,especialista,senior
96,jéssica,36,analista,pleno
97,guilherme,37,analista,senior
98,roberta,21,assistente,junior
